order_id,store_lat,store_lng,customer_lat,customer_lng,one_way_km,round_trip_km
ORD1,45.3035536,-66.0303429,45.303075,-66.043208,1.008,2.015
ORD2,45.2398138,-68.6411548,45.264699,-68.669754,3.559,7.119
ORD3,45.724538,-65.52243299999999,45.726874,-65.520386,0.304,0.609
ORD4,44.967508,-64.92134159999999,44.938729,-64.915757,3.23,6.46
ORD113,44.967508,-64.92134159999999,44.968977,-64.909705,0.93,1.86
ORD5,47.99239439999999,-66.7043793,47.991565,-66.731487,2.019,4.039
ORD45,47.99239439999999,-66.7043793,47.973798,-66.719793,2.365,4.729
ORD96,47.99239439999999,-66.7043793,47.99225,-66.738052,2.506,5.012
ORD114,47.99239439999999,-66.7043793,47.97512,-66.708949,1.951,3.901
ORD6,47.64015999999999,-65.677964,47.650705,-65.662647,1.641,3.281
ORD22,47.64015999999999,-65.677964,47.645571,-65.685673,0.834,1.668
ORD93,47.64015999999999,-65.677964,47.667149,-65.671334,3.042,6.084
ORD7,45.9424119,-66.6676549,45.930689,-66.717182,4.046,8.091
ORD60,45.9424119,-66.6676549,45.944663,-66.671949,0.416,0.832
ORD136,45.9424119,-66.6676549,45.933367,-66.701022,2.769,5.539
ORD143,45.9424119,-66.6676549,45.955127,-66.678136,1.63,3.259
ORD149,45.9424119,-66.6676549,45.962044,-66.706207,3.694,7.389
ORD8,47.1564588,-67.9353246,47.145137,-67.952255,1.796,3.591
ORD80,47.1564588,-67.9353246,47.161525,-67.947211,1.061,2.121
ORD112,47.1564588,-67.9353246,47.140216,-67.977081,3.638,7.276
ORD9,45.298902,-66.19659399999999,45.330367,-66.183445,3.647,7.293
ORD10,45.066241,-64.444566,45.048936,-64.45769,2.183,4.366
ORD11,46.109851,-64.8328439,46.099883,-64.855123,2.044,4.088
ORD40,46.109851,-64.8328439,46.109456,-64.878383,3.511,7.022
ORD12,45.248991,-66.102414,45.247495,-66.11862,1.28,2.559
ORD13,45.306843,-66.01580799999999,45.309702,-65.984894,2.438,4.877
ORD94,45.306843,-66.01580799999999,45.307196,-66.011946,0.305,0.609
ORD111,45.306843,-66.01580799999999,45.317294,-65.98532,2.652,5.304
ORD14,45.812949,-64.20078099999999,45.786329,-64.168025,3.9,7.8
ORD56,45.812949,-64.20078099999999,45.773476,-64.217391,4.574,9.148
ORD15,44.947923,-65.07089599999999,44.966451,-65.094325,2.765,5.529
ORD127,44.947923,-65.07089599999999,44.956446,-65.058103,1.383,2.765
ORD16,45.2542317,-66.09278809999999,45.26404,-66.085896,1.217,2.434
ORD17,46.0644206,-64.7999936,46.068301,-64.796027,0.529,1.058
ORD86,46.0644206,-64.7999936,46.055595,-64.844882,3.6,7.2
ORD18,47.0547615,-67.74331149999999,47.051311,-67.745078,0.406,0.813
ORD19,47.382338,-68.337964,47.378752,-68.35769,1.538,3.076
ORD20,45.3119406,-66.0183825,45.332209,-65.988997,3.218,6.437
ORD21,45.978442,-66.658402,45.970163,-66.653263,1.003,2.005
ORD23,47.02979980000001,-65.4698707,47.046535,-65.4357,3.189,6.378
ORD83,47.02979980000001,-65.4698707,46.994117,-65.473546,3.978,7.955
ORD24,46.1466544,-67.8413546,46.156041,-67.816255,2.197,4.394
ORD47,46.1466544,-67.8413546,46.185431,-67.865023,4.681,9.362
ORD62,46.1466544,-67.8413546,46.149983,-67.786973,4.206,8.411
ORD135,46.1466544,-67.8413546,46.166089,-67.832009,2.278,4.556
ORD25,46.410663,-63.783577,46.404922,-63.786448,0.675,1.351
ORD55,46.410663,-63.783577,46.4049,-63.811889,2.263,4.527
ORD67,46.410663,-63.783577,46.414865,-63.809343,2.03,4.06
